,2023-11-17_11-25-34,2023-11-17_11-26-36,2023-11-17_11-27-37,restart counter
adaptivefrontlight_server,Running,Running,Running,0
adaptivefrontlightasil_server,Running,Running,Running,0
adasactuationarbitrationmanager,Running,Running,Running,0
adascleaningmanager,Running,Running,Running,0
adasdomaincontroller_server,Running,Running,Running,0
adasdriverstate_server,Running,Running,Running,0
adasinformationmanager,Running,Running,Running,0
adasmanagersafe_server,Running,Running,Running,0
adassensormodemanager,Running,Running,Running,0
alarmservice_server,Running,Running,Running,0
alcohol-interlock-manager,Running,Running,Running,0
asil_data_runner,Running,Running,Running,0
assistance-call-adapter,Running,Running,Running,0
assistance_call_server,Running,Running,Running,0
aswm_lin_scheduler,Running,Running,Running,0
aswm_server,Running,Running,Running,0
aud_admin,Running,Running,Running,0
basic_illumination_control_safe_server,Running,Running,Running,0
basic_illumination_control_server,Running,Running,Running,0
brake_control_server,Running,Running,Running,0
carconfig-adapter,Running,Running,Running,0
carconfig_server,Running,Running,Running,0
catc,Running,Running,Running,0
charge_coordinator_runner,Running,Running,Running,0
cloudfeaturediscovery_server,Running,Running,Running,0
cloudmapreceiver,Running,Running,Running,0
comm-sum,Running,Running,Running,0
conversion_control,Running,Running,Running,0
cpu_stats_app_server,Running,Running,Running,0
crashcontrolmaster,Running,Running,Running,0
csp_signal_database_service,Running,Running,Running,0
data_collection_framework_core,Running,Running,Running,0
data_forwarder_runner_asilb1,Running,Running,Running,0
data_forwarder_runner_asilb2,Running,Running,Running,0
data_forwarder_runner_qm1,Running,Running,Running,0
data_forwarder_runner_qm2,Running,Running,Running,0
data_forwarder_runner_qm3,Running,Running,Running,0
deviceadmin_server,Running,Running,Running,0
dhu-fault-proxy,Running,Running,Running,0
dhu-someip-adapter-proxy-server,Running,Running,Running,0
dhu_admin,Running,Running,Running,0
diagnostic_comm_buses_monitor,Running,Running,Running,0
diagnostic_data_provider,Running,Running,Running,0
diagnostic_kernel,Running,Running,Running,0
diagnostic_memory_monitor,Running,Running,Running,0
diagnostic_sensors_monitor,Running,Running,Running,0
diagnostic_wake_up_agent,Running,Running,Running,0
diagnostic_watchdog_monitor,Running,Running,Running,0
direction_indicator_control_server,Running,Running,Running,0
directionindicationfaultmonitorsafe_server,Running,Running,Running,0
directionindicatorcontrolsafe_server,Running,Running,Running,0
dkey_server,Running,Running,Running,0
driver-coach-adapter,Running,Running,Running,0
driver_presence_server,Running,Running,Running,0
driverinformationasiladapter,Running,Running,Running,0
driverinformationviewlogicrunner,Running,Running,Running,0
driverinformationviewlogicrunner_hangaround,Running,Running,Running,0
driverinformationviewlogicrunner_outcast,Running,Running,Running,0
driverinformationviewlogicrunner_prospect,Running,Running,Running,0
electric_drive_runner,Running,Running,Running,0
electrical_faults_coordinator,Running,Running,Running,0
electrical_levels_coordinator,Running,Running,Running,0
electrical_limits_coordinator,Running,Running,Running,0
electronic-toll-collection-manager-china,Running,Running,Running,0
ergonomicscoordinator,Running,Running,Running,0
exposed_2400_container,Running,Running,Running,0
externalloadservice_server,Running,Running,Running,0
fault_manager,Running,Running,Running,0
globalsnapshot_server,Running,Running,Running,0
globalsnapshotresolver_server,Running,Running,Running,0
googlemapcontributionprovider_app,Running,Running,Running,0
hands_off_detection_server,Running,Running,Running,0
headupdisplaysettings,Running,Running,Running,0
heated-emblem,Running,Running,Running,0
high_voltage_charging_runner,Running,Running,Running,0
high_voltage_energy_coordinator,Running,Running,Running,0
hpa_activation_manager,Running,Running,Running,0
hpa_uds_diagnostic_server,Running,Running,Running,0
human-vision-manager,Running,Running,Running,0
hvbmactivation,Running,Running,Running,0
hvsystemcontrol_server,Running,Running,Running,0
immobilizer-manager,Running,Running,Running,0
indicationmanager,Running,Running,Running,0
infotainment_climate_adapter,Running,Running,Running,0
installation_master,Running,Running,Running,0
installation_master_crypto,Running,Running,Running,0
interior-light-server,Running,Running,Running,0
intrusion-detection-system,Running,Running,Running,0
keep-awake,Running,Running,Running,0
key_provisioning_crypto,Running,Running,Running,0
lifecycle-modes-manager,Running,Running,Running,0
lifecycle-modes-manager-safe,Running,Running,Running,0
lockingservice_server,Running,Running,Running,0
lockingservicesafe_server,Running,Running,Running,0
longitudinal_vehicle_control_service,Running,Running,Running,0
low-voltage-energy-control,Running,Running,Running,0
low_voltage_energy_coordinator,Running,Running,Running,0
lpa-dtc-adapter,Running,Running,Running,0
lpa_agent,Running,Running,Running,0
map_energy_adapter_app,Running,Running,Running,0
media-switch-adapter,Running,Running,Running,0
mountedeculist_server,Running,Running,Running,0
notificationmanager,Running,Running,Running,0
occupant_forgotten_assessment_server,Running,Running,Running,0
occupant_presence_provider_server,Running,Running,Running,0
odometer,Running,Running,Running,0
ota_manager,Running,Running,Running,0
overhead-console-defroster,Running,Running,Running,0
pdbox_power_coordinator,Running,Running,Running,0
positioning,Running,Running,Running,0
post_aca,Running,Running,Running,0
powersteering_server,Running,Running,Running,0
pre_aca,Running,Running,Running,0
probesourcemapstransceiver,Running,Running,Running,0
pvc,Running,Running,Running,0
radar-server,Running,Running,Running,0
rear-climate-view-controller,Running,Running,Running,0
rearvisiondefroster_server,Running,Running,Running,0
remote_monitor_system_gateway_china,Running,Running,Running,0
resource_management,Running,Running,Running,0
roadstate_server,Running,Running,Running,0
seat_manager_safe,Running,Running,Running,0
seatbelt-control-server,Running,Running,Running,0
seatmanager_server,Running,Running,Running,0
secure_storage,Running,Running,Running,0
secured_2000_container,Running,Running,Running,0
secured_2001_container,Running,Running,Running,0
secured_2002_container,Running,Running,Running,0
secured_2050_container,Running,Running,Running,0
secured_2990_container,Running,Running,Running,0
security_logger,Running,Running,Running,0
settings-service,Running,Running,Running,0
sga_comm_service,Running,Running,Running,0
shutdown-manager,Running,Running,Running,0
sidemirrormaneuveringcontrol_server,Running,Running,Running,0
signaling_gateway,Running,Running,Running,0
someip_core_internal,Running,Running,Running,0
someip_exposed,Running,Running,Running,0
someip_secure,Running,Running,Running,0
standardprecisionpositioning,Running,Running,Running,0
start_manager,Running,Running,Running,0
statistical_data_aggregator,Running,Running,Running,0
statistical_data_manager_server,Running,Running,Running,0
surface_temperature_manager_server,Running,Running,Running,0
suspension-data-forwarder,Running,Running,Running,0
switch-display-illumination-server,Running,Running,Running,0
telematics_application_adapter,Running,Running,Running,0
tester_prioritizer,Running,Running,Running,0
torquevectoringmodemanager_server,Running,Running,Running,0
tricorder-data-collector,Running,Running,Running,0
tyre_and_wheel_monitor,Running,Running,Running,0
uds_firewall,Running,Running,Running,0
uds_tester_handler,Running,Running,Running,0
usage-modes-manager,Running,Running,Running,0
user-manager,Running,Running,Running,0
utc-broker,Running,Running,Running,0
vcc_human_vision_camera_adapter,Terminated,Terminated,Terminated,0
vehicle-charging-input-adapter,Running,Running,Running,0
vehicle-energy-management,Running,Running,Running,0
vehicle-status-adapter,Running,Running,Running,0
vehicle_energy_mode_service,Running,Running,Running,0
vehicle_location_transmitter,Running,Running,Running,0
vehicle_modes_provider,Running,Running,Running,0
vehicledataviewadapter,Running,Running,Running,0
vehiclelanguagecontroller,Running,Running,Running,0
vehiclemotionstate_server,Running,Running,Running,0
vehiclesettingsinputadapter,Running,Running,Running,0
visibilitysensorcleaning_server,Running,Running,Running,0
wakeup-time-manager,Running,Running,Running,0
wheelrotationadapter,Running,Running,Running,0
windowsservice_server,Running,Running,Running,0
wiperwasher_server,Running,Running,Running,0
wired-devices-charging,Running,Running,Running,0
wireless_phone_charger_server,Running,Running,Running,0
zen_asil_feature_a,Running,Running,Running,0
zen_asil_sensorfusion_a,Running,Running,Running,0
zen_nominal_freespace_fusion_a,Running,Running,Running,0
zen_plan_pni,Running,Running,Running,0
zen_qm_adaptive_high_beam,Terminated,Terminated,Terminated,0
zen_qm_camera_flcw,Running,Running,Running,0
zen_qm_camera_srcx,Running,Running,Running,0
zen_qm_ego_vehicle_motion,Running,Running,Running,0
zen_qm_feature_a,Running,Running,Running,0
zen_qm_mapengine,Running,Running,Running,0
zen_qm_onepilot_apis_a,Running,Running,Running,0
zen_qm_probing,Running,Running,Running,0
zen_qm_sensorfusion_a,Running,Running,Running,0
zen_qm_src_vision,Running,Running,Running,0
zen_qm_ultrasonic_sensing,Running,Running,Running,0
zen_qm_vision,Terminated,Terminated,Terminated,0
zen_qm_vision_factory_calibration,Terminated,Terminated,Terminated,0
